year,code,cause,cause_level,dalys,dalys_thousands,dalys_millions,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,total_dalys,pct_all_dalys
2000,1060,Macular degeneration,3,366248.969731658,366.248969731658,0.366248969731658,NA,NA,4.,Macular degeneration,NA,2841004961.46513,1.2891528691409972e-4
2000,1070,Other vision loss,3,2101003.43583036,2101.0034358303596,2.1010034358303598,NA,NA,5.,Other vision loss,NA,2841004961.46513,7.395282529696304e-4
2000,1080,Other hearing loss,3,26639914.3773657,26639.9143773657,26.639914377365702,NA,NA,6.,Other hearing loss,NA,2841004961.46513,0.009376933422751671
2000,1090,Other sense organ disorders,3,2364604.54275895,2364.60454275895,2.36460454275895,NA,NA,7.,Other sense organ disorders,NA,2841004961.46513,8.323127114637293e-4
2000,1100,Cardiovascular diseases,2,344264513.322484,344264.51332248404,344.264513322484,NA,H.,Cardiovascular diseases,NA,NA,2841004961.46513,0.12117701939701786
2000,1110,Rheumatic heart disease,3,15849461.0791711,15849.4610791711,15.849461079171101,NA,NA,1.,Rheumatic heart disease,NA,2841004961.46513,0.005578822034509014
2000,1120,Hypertensive heart disease,3,16921843.5445559,16921.843544555897,16.921843544555898,NA,NA,2.,Hypertensive heart disease,NA,2841004961.46513,0.005956287924196078
2000,1130,Ischaemic heart disease,3,143429489.911942,143429.48991194202,143.429489911942,NA,NA,3.,Ischaemic heart disease,NA,2841004961.46513,0.05048547674410756
2000,1140,Stroke,3,137078927.963907,137078.92796390702,137.078927963907,NA,NA,4.,Stroke,NA,2841004961.46513,0.04825015437256198
2000,1141,Ischaemic stroke,4,53328037.9342324,53328.0379342324,53.3280379342324,NA,NA,NA,a.,Ischaemic stroke,2841004961.46513,0.01877083590404245
2000,1142,Haemorrhagic stroke,4,83750890.0015716,83750.89000157159,83.75089000157159,NA,NA,NA,b.,Haemorrhagic stroke,2841004961.46513,0.0294793184586276
2000,1150,"Cardiomyopathy, myocarditis, endocarditis",3,11702720.1251204,11702.720125120399,11.702720125120399,NA,NA,5.,"Cardiomyopathy, myocarditis, endocarditis",NA,2841004961.46513,0.00411921847510087
2000,1160,Other circulatory diseases,3,19282070.6977878,19282.0706977878,19.2820706977878,NA,NA,6.,Other circulatory diseases,NA,2841004961.46513,0.006787059846542427
2000,1170,Respiratory diseases,2,93475797.9228887,93475.7979228887,93.4757979228887,NA,I.,Respiratory diseases,NA,NA,2841004961.46513,0.03290237053112447
2000,1180,Chronic obstructive pulmonary disease,3,65182394.5715641,65182.3945715641,65.1823945715641,NA,NA,1.,Chronic obstructive pulmonary disease,NA,2841004961.46513,0.022943428630250964
2000,1190,Asthma,3,21335415.433007,21335.415433006998,21.335415433006997,NA,NA,2.,Asthma,NA,2841004961.46513,0.007509812803003395
2000,1200,Other respiratory diseases,3,6957987.91831762,6957.98791831762,6.957987918317619,NA,NA,3.,Other respiratory diseases,NA,2841004961.46513,0.002449129097870117
2000,1210,Digestive diseases,2,80876884.9308796,80876.88493087959,80.8768849308796,NA,J.,Digestive diseases,NA,NA,2841004961.46513,0.028467702812166408
2000,1220,Peptic ulcer disease,3,7856503.8011865,7856.5038011865,7.8565038011865,NA,NA,1.,Peptic ulcer disease,NA,2841004961.46513,0.002765396015758746
2000,1230,Cirrhosis of the liver,3,39725124.5722167,39725.1245722167,39.7251245722167,NA,NA,2.,Cirrhosis of the liver,NA,2841004961.46513,0.013982771980704363
2000,1231,Cirrhosis due to hepatitis B,4,11147157.7675943,11147.1577675943,11.147157767594301,NA,NA,NA,a.,Cirrhosis due to hepatitis B,2841004961.46513,0.0039236671244127705
2000,1232,Cirrhosis due to hepatitis C,4,9109042.15017552,9109.042150175519,9.109042150175519,NA,NA,NA,b.,Cirrhosis due to hepatitis C,2841004961.46513,0.0032062746365208424
2000,1233,Cirrhosis due to alcohol use,4,9800903.60767576,9800.903607675758,9.800903607675759,NA,NA,NA,c.,Cirrhosis due to alcohol use,2841004961.46513,0.003449801651392172
2000,1234,Other liver cirrhosis,4,9668021.04677105,9668.02104677105,9.668021046771049,NA,NA,NA,d.,Other liver cirrhosis,2841004961.46513,0.003403028568378554
2000,1240,Appendicitis,3,1927510.30889306,1927.51030889306,1.92751030889306,NA,NA,3.,Appendicitis,NA,2841004961.46513,6.784607330988352e-4
2000,1241,Gastritis and duodenitis,3,2453383.10111092,2453.38310111092,2.4533831011109197,NA,NA,4.,Gastritis and duodenitis,NA,2841004961.46513,8.635617094613203e-4
